video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
kD06SQtfA5s,science_tech,12,2.33,65901,1323176,
kDRRvz4y7ms,sports,5,6.84,4259,332511,3.578
kDiJh8loTOE,science_tech,5,2.12,19233,207272,2.412
kFMZUxX6K6o,music,13,1.83,1862924,17045761,9.244
kFSm6gany_Q,entertainment,6,1.7,403498,1708199,1.553
kG41zm8HGSE,entertainment,6,1.46,126258,500395,1.661
kIHhVkkHV2k,howto,10,1.65,76571,347257,1.751
kJ18whKduFo,education,5,2.07,5811,48033,1.901
kJzSzGbfc0k,education,15,2.23,218445,1769799,5.0
kKFNThEiilU,people_blogs,7,1.9,34566,163043,4.254
kKMNo0QvDrM,comedy,5,2.42,4242,80935,2.652
kNg_RFDYpTw,howto,10,4.29,40887,410257,2.542
kOCkne-Bku4,music,4,1.79,151338,795683,
kOsl3cmK3zg,entertainment,13,1.29,117435,453506,3.67
kQQZ2hje42E,howto,4,12.98,13088,60697,3.643
kSuaykdvl4I,entertainment,7,1.37,410506,1604545,3.001
kTlv5_Bs8aw,music,6,1.62,6620078,36857298,5.265
kUZlz6VbMCg,news,5,1.26,496901,5625319,1.083
kUosDBUjq5A,travel,15,1.27,439603,1346643,3.016
kVVtBDaY8i4,film,7,5.14,9900,129207,11.704
kWku5rgaJWM,film,6,1.38,386745,1526404,0.821
kX0vO4vlJuU,music,9,1.37,2690092,17624672,4.914
kZLBVi_0ENU,music,4,2.59,46586,317779,
kZYKnREz9Vo,science_tech,9,3.03,24727,427822,2.683
kavxsXhzD48,entertainment,6,1.37,89098,437193,1.908
kbaMeEcdDfM,sports,4,1.84,116623,778479,2.033
kce7M5FJ5GM,comedy,8,1.23,112114,343756,1.529
kce9FMxx-04,entertainment,9,1.23,640933,1461207,1.583
keD0IJP4Dtw,music,5,1.25,66537,162864,1.265
kewIE0Zw6yY,entertainment,9,1.23,1587432,6183923,2.4
kfOeQj7HsCE,entertainment,5,1.39,328465,1108183,1.153
kfPNxNIDHrA,news,6,1.46,264546,1030347,1.242
khPLWaBioOs,entertainment,6,2.1,2278562,18938867,17.571
kiE71P138rc,sports,5,1.35,720764,6427726,1.384
kjC1zmZo30U,entertainment,15,1.46,2335903,5224737,2.026
kjbimjCQYdY,entertainment,8,1.04,162193,351717,1.803
kl39KHS07Xc,education,6,1.41,466831,1882972,1.443
kl_jxVID3PE,music,5,5.23,12275,321857,47.198
km5FAAQLUT8,gaming,6,5.01,17498,769382,29.918
kqp6RnQHKR4,entertainment,14,2.3,182744,1019330,2.574
kton-qrKNLc,music,14,1.46,1581143,19998243,
kwvbLx9M6-s,people_blogs,9,1.3,86451,298314,3.192
kxMC7g_sKjw,comedy,10,1.88,901965,3786691,1.803
kxkrdLI6e6M,entertainment,8,3.07,51089,659212,5.605
kz1xzBYppW8,news,4,3.66,82177,1364148,1.538
kz3MEd1Jr0Q,music,7,1.37,332104,1888088,17.305
kzFHjyysXr0,comedy,4,2.01,156006,1310346,1.558
kzk4SId9Ab0,howto,4,1.33,192633,774092,0.939
l0jGg-MUd-U,people_blogs,7,3.12,20758,350202,2.976
l2P2qbr-_Ps,entertainment,5,1.46,622895,3103985,3.277
l3f_1zEEnR0,comedy,4,2.12,29380,345869,4.558
l3vbvF8bQfI,music,6,1.79,355642,1912665,3.79
l4bAoNAx2uo,education,5,2.28,167787,877102,4.638
l4zbAjDVrns,comedy,5,1.15,896315,2443384,1.191
l5S5DM564O8,sports,5,1.23,10655,36929,1.235
l7ib9Mmkt4Y,comedy,7,1.29,590247,2679373,1.948
l884wKofd54,music,22,3.71,1678433,21980138,12.235
l992Loe-qVc,howto,4,2.0,11582,78175,0.957
l9jZFwwZQJs,comedy,6,2.27,484060,3780194,4.874
lARpY0nIQx0,science_tech,6,2.15,51064,620687,2.146
lAaSh9DogM8,entertainment,15,2.01,31853,260697,3.372
lBbSzQXQknw,entertainment,10,1.12,1370474,4678751,1.486
lCT0OaVqIQE,news,4,2.9,176,1464,0.675
lCuewNV_KyQ,entertainment,12,2.36,47723,401423,2.824
lD1mPectYOM,entertainment,15,7.29,127372,741548,3.701
lE0eWRdSrY4,news,7,3.38,24082,689597,1.757
lEltmPagx6M,entertainment,12,2.21,81645,846124,4.063
lG8fWx982Qs,science_tech,10,2.08,106072,765096,2.342
lGEY8IulWiA,film,8,2.12,889847,7999926,3.566
lHNmUUi6LzM,comedy,5,1.62,84407,396832,1.007
lHxZlnj6yKQ,music,5,2.82,82605,577937,5.491
lJM8qqEy35c,news,7,0.92,74112,225463,0.911
lJmDmfQOWVw,people_blogs,6,1.71,28812,139884,1.267
lM0yu7c6lQk,shows,10,1.95,24321,179723,2.449
lOz7cPJQd8E,people_blogs,12,1.49,260924,857855,1.651
lQ9EpoaNQRc,news,5,1.32,10617,49017,109.984
lQkc0DcS7O4,sports,4,2.16,158519,1108366,1.17
lRkTgVynmbM,comedy,10,4.37,191368,3148434,11.811
lRlVPAeZTzc,entertainment,4,3.46,35222,308787,1.929
lRlp6e2Bam8,people_blogs,9,1.97,60181,299365,0.926
